48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",Unnamed: 19,Unnamed: 20,Unnamed: 21,ADB URL
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,,https://www.adb.org/projects/48116-001/main
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,,https://www.adb.org/projects/48116-001/main
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,,https://www.adb.org/projects/48116-001/main
48116-001,Sustainable and Climate-Resilient Land Management in the Western Regions,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8872,09/01/2015,1/9/2015,0,"Gansu Sheng, Guizhou Sheng, Inner Mongolia, Qinghai Sheng, Shaanxi, Sichuan Sheng","Agriculture, natural resources and rural development",,,,,East Asia Department,National Forestry and Grassland Administration,"Niu, Zhiming",,,,https://www.adb.org/projects/48116-001/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
48061-002,Sustainable Forest Management to Improve Livelihood of Local Communities,Mongolia,Sovereign,Technical Assistance,Closed,8874,13/01/2015,1/13/2015,0,Nation-wide,"Agriculture, natural resources and rural development",,,,,East Asia Department,Ministry of Environment and Tourism,"Robertson, Suzanne Kay",,,,https://www.adb.org/projects/48061-002/main
